id,tweet,target
0,Today in Selfcare  beauty &amp  laughs Kung Fu Panda Wellness joy laughter selfcare therapist philadelphia,1
1,I get to spend New Year s home again alone and lonely. ,1
2,Depressed and lonely    Stuck in a deep  never ending hole  ,1
3,If this is your response to someone saying they re dealing with   you re a terrible person.  ,0
4,Apparently you get a free pass just by mentioning    Where was I on the free badge day,0
5,When you will never again give birth to violent men    ,0
6,Learning to pretend to have a good time had become a natural skill. I hope one day it is genuine,1
7,Aw man im outta pizza rolls ,0
8,When you go out and try to be a part of life & end up feeling like you are less a part of it then when you started.   pic.twitter.com J625NXrWDb,1
9,So far he stop texting me after I said something so hopefully he doesn t show up at my house ,1
10,Portable Transparent Tobacco Rolling Machine ,0
11,sigh I haven t cried so much I m in so much pain ,1
12,Our last group of 2016 was our new  project  even more relevant at this time of year  & they laid on some welcoming festive food  ,0
13,trentnews  katcampbellwx Good morning Margo We are  have a terrific Tuesday dear,0
14,I m so  that I dropped my phone in the toilet  I m no longer  for now   ,0
15,Me and  DicksonEmily s snap streak is   if that s not amazing I don t know what is commitment,1
16,Carly and amp  Theo Blair  Carly was camera shy but still enjoyed playing with her brother here at The Dog House Pet Resort ,0
17,If optimism is the   to success and if you can achieve a   outlook through positive thinking  there is no excuse for failure. ,0
18,Thank god the last presentation is over    tomorrow is our last day at uni this year. We really need a few days off.  ,1
19,Plum Blossom Patterned White Ceramic Smoking Pipe  ,0
20,No  I m not  depressed because of the weather   I m depressed because I have depression sicknotweak,1
21,should of just slept through this charger game ,0
22,You got me w that one  AmazonPrime   New theTICK trailer is hilarity,0
23,Very sad day in Edmonton   Praying for all who lost their lives.  ,1
24, na dirs Omg you re savage prof  this is hilarious  ,0
25,It s been a strange year. I beat  at last. I started to believe that  it really is 2017 I m ready  ,0
26,Losing my uncle after the wedding its just I dunno ,1
27,If youre  youre living in the past. If youre  youre living in the future.  If youre at  youre living in the present,0
28,Nobody cares in real life and nobody cares here. I m gonna stop sharing my nightmares to people who are more worried about likes than actually helping a person out.,1
29,Saturday nigjt watching this is england ,0
30, I m telling you  the  eats you alive ,0
31, TheSocialCTV I d never leave the couch again   excited and  weary  ,0
32,Today is already off to a great start .  ,0
33, is dangerous. It  addicting. Once you see how peaceful it is  you don  wanna deal with  ,1
34,My wish for 2015 is that no one suffering from  should EVER feel alone. That they would receive help  love  support & kindness.,0
35, WorldFringeDay Heehee. I did chuckle to myself when i saw what it actually was  so you did get a laugh out if me,0
36,  How come I see no value in my own life   It feels like I was born this way  seeing no self values.,1
37,Today is already off to a great start .  ,0
38, honeyfriess Now that s a  HappyThought to start your week ,0
39,Once a flirty always a flirty  .,0
40,Sometimes I want to apology just to make things better.  I have nothing to apologize  very opposite of that  I deserve an apology.  But my heart smells of loneliness and desperation .  ,1
41,Hello everyone  How are you Sinong excited na for live shows Hahaha don t worry we are too   ,0
42,Been kicked to the kerb by a big company yet again in my quest 4 a decent job,1
43,I really got a hair cut last night  ,0
44,Just Paracetamol is Anti pyritique  cant anawer correctly due to too much nerve. What a shame    ,0
